sample_name,flowcell,lane
CORE_negative_control_2,BSF_0136_H273GBCXX,1
CORE_negative_control_2,BSF_0136_H273GBCXX,2
CORE_negative_control_3,BSF_0136_H273GBCXX,1
CORE_negative_control_3,BSF_0136_H273GBCXX,2
CORE_negative_control_4,BSF_0136_H273GBCXX,1
CORE_negative_control_4,BSF_0136_H273GBCXX,2
HL60_500_3,BSF_0136_H273GBCXX,1
HL60_500_3,BSF_0136_H273GBCXX,2
HL60_500_4,BSF_0136_H273GBCXX,1
HL60_500_4,BSF_0136_H273GBCXX,2
K562_1_3,BSF_0136_H273GBCXX,1
K562_1_3,BSF_0136_H273GBCXX,2
K562_1_4,BSF_0136_H273GBCXX,1
K562_1_4,BSF_0136_H273GBCXX,2
K562_1_5,BSF_0136_H273GBCXX,1
K562_1_5,BSF_0136_H273GBCXX,2
K562_1_6,BSF_0136_H273GBCXX,1
K562_1_6,BSF_0136_H273GBCXX,2
K562_1_7,BSF_0136_H273GBCXX,1
K562_1_7,BSF_0136_H273GBCXX,2
K562_4_2,BSF_0136_H273GBCXX,1
K562_4_2,BSF_0136_H273GBCXX,2
K562_4_3,BSF_0136_H273GBCXX,1
K562_4_3,BSF_0136_H273GBCXX,2
